Title,Genre(s),Developer(s),Publisher(s)
Atelier Ryza 2: Lost Legends & the Secret Fairy,Role-playing,Gust,Koei Tecmo
Atelier Shallie: Alchemists of the Dusk Sea DX,Role-playing,Gust,Koei Tecmo
Atelier Sophie: The Alchemist of the Mysterious Book,Role-playing,Gust,Tecmo Koei
Atelier Sophie 2: The Alchemist of the Mysterious Dream,Role-playing,Gust,Tecmo Koei
Atelier Totori: The Adventurer of Arland,Role-playing,Gust,Koei Tecmo
Atomic Heart,Action role-playingfirst-person shooter,Mundfish,Mundfish
Atomicrops,Action,Bird Bath Games,Raw Fury
A-Train Express,Simulation,Artdink,Degica Games
Attack on Titan,Action,Omega Force,Koei Tecmo
Attack on Titan 2,Action,Omega Force,Koei Tecmo
Attractio,First-person shooterpuzzle,GameCoderRenderfarm,Bandai Namco Entertainment
ATV Drift and Tricks,Racing,Artefacts Studio,Microïds
Auto Chess,Auto battlerstrategy,Drodo StudioDragonest,Dragonest
Autumn's Journey,Action-adventure,Apple Cider,Ratalaika Games
Aven Colony,Simulation,Mothership Entertainment,Team17
Marvel's Avengers,Action-adventure,Crystal DynamicsEidos Montréal,Square Enix
AVICII Invector,Musicrhythm,Hello There Games,Wired Productions
Away: Journey to the Unexpected,Roguelike,Playdius Entertainment,Playdius Entertainment
AWAY: The Survival Series,Action-adventuresurvival,Breaking Walls,Breaking Walls
A Way Out,Action-adventure,Hazelight Studios,Electronic Arts
Awesomenauts Assemble,Battle arena,Abstraction Games,Ronimo Games
Axiom Verge,Metroidvania,Thomas Happ Games,Thomas Happ Games
Azkend 2: The World Beneath,Puzzle,10tons,10tons
Azur Lane: Crosswave,"Action, shooter",Felistella,JP: Compile HeartWW: Idea Factory International
Azure Reflections,Shoot 'em up,Souvenir Circ.,NA: Souvenir Circ.WW: Sony Music Entertainment
Azure Striker Gunvolt: Striker Pack,Action,Inti Creates,Inti Creates
Aztech: Forgotten Gods,Action-adventure,Lienzo,Lienzo
Babylon's Fall,Action-adventure,PlatinumGames,Square Enix
Backbone,Adventure,EggNut,Raw Fury
Backgammon Blitz,Board game,VooFoo Studios,VooFoo Studios
Back to Bed,Puzzle,Loot Interactive,Loot Interactive
Back to the Future: The Game – 30th Anniversary Edition,Adventure,Telltale Games,Telltale Games
Badland: Game of the Year Edition,Platform,Frogmind,Frogmind
Bad North,Real-time strategy,Plausible Concept,Raw Fury
Baja: Edge of Control HD,Racing,2XL Games,THQ Nordic
Bake 'n Switch,Party,Streamline Games,Streamline Games
Balan Wonderworld,Platform,Balan Company,Square Enix
Baldo,Role-playing,NAPS team,NAPS team
Baldur's Gate: Dark Alliance,Action role-playing,Black Isle Studios,Interplay Entertainment
Baldur's Gate: Enhanced Edition,Role-playing,Beamdog,Skybound Games
Baldur's Gate II: Enhanced Edition,Role-playing,Beamdog,Skybound Games
Baldur's Gate: Siege of Dragonspear,Role-playing,Beamdog,Skybound Games
Banner of the Maid,Turn-based strategy,Azure Flame Studio,CE-Asia
The Banner Saga,Tactical role-playing,Stoic Studio,Versus Evil
